1844,May 7th,,"The State Normal School created by legislature to train teachers for the Common Schools of N. Y. S. It was the 4th state normal school in the country, the first in N. Y. S., and the first outside of Massachusetts. The school was financed by a $9,600.00 grant from the Literature Fund for the first year and $10,000.00 per year for the following five years. It was regarded as an experiment which could be canceled in the future. The State Normal School remained the only ""State"" normal school in N.Y. till 1866 when the N. Y. S. took over the municipal normal school at Oswego. The State Normal School was under the joint control of the Secretary of State and the Regents. (William Marshall French & Florence Smith French, College of the Empire State: A Centennial History of the New York State College for Teachers at Albany [Albany, NY, 1944], pp. 38, 45, 72, hereafter cited as French. A photograph of the original legislation is in the Archives Photo File.) "
1844,June 1,,"The Executive Committee, forerunner of our current University Council, holds its first meeting. The first members of the Committee were Colonel Samuel Young, chairman (Secretary of State and Superintendent of the Common Schools), Regent Gideon Hawley, Francis Dwight, Rev. Dr. Alonzo Potter, and Rev. William H. Campbell (State Normal School at Albany. Executive Committee Minutes (transcription), Vol. I, p.1, hereafter cited as Exec. Comm. Minutes; for biographical information on the Executive Committee members see French, pp. 45-50) "
1844,November 23,,"The first faculty member hired by Executive Committee was George R. Perkins, mathematical instructor. (Exec. Comm. Minutes, Vol. I, p. 6) Perkins would become the second principal in 1848. "
1844,December 13,,"David Page's appointment as the School's first principal confirmed by the Executive Committee. (French, p. 56) "
1844,December 16,,"The first plan of organization for Normal School was submitted by Page and adopted with amendments by the Executive Committee. (Exec. Comm. Minutes, vol. I, p. 8-10) The first school catalog was published in The District School Journal of the State of New York, Sept. 1845, pp. 104-8. (Need to check to see if earlier version.) "
1844,December 18,,"The first classes were held at the State Normal School's temporary building, former Mohawk & Hudson Railway Building, later known as Van Vechten Hall, located at 115-121 State Street. The building’s second and third floors were donated by City of Albany rent free for five years. The City also donated $500.00 to renovate the building. Van Vechten Hall was demolished in the early nineteen-sixties for construction of the IBM Building. The initial enrollment was 29 students taught by two faculty: David Page and George R. Perkins. By the end of the session 98 students were in attendance, ""an equal number from each sex"". State students, those nominated by County Superintendents, receive free tuition and a $.03 pre-mile travel allowance from their home paid at the end of the term. Sixty-nine ""State Pupils"" were registered by the end of the 1st term. State students also received a weekly room & board allowance, $1.25 for women, $1.00 for men. (French, pp. 53-54, 59; Figures on students from French and Report of the Executive Committee of the State Normal School to the Superintendent of the Common Schools and Regents of the University of New York, January 14, 1846, p. 5; for the demolition of Van Vechten Hall see Permit No. 108358, 1964, Building Department Permit Indexes, A-Z, 1962, Albany County Hall of Records)"
1845,February 20,,"James L. Wadsworth donates $300.00 in his will to purchase books on the Library List for the school’s Miscellanea Library accepted by the Executive Committee. Wadsworth was a prominent land developer and advocate of school libraries in NYS. This was the first private donation to the school. Other books and maps worth $600.00 were donate by book publishers.(Exec. Comm. Minutes, vol. I, pp. 17 & 21; French, p. 66) "
1845,April 4,,"The Executive Committee mandates that all student be required to sign a “Declaration of Teaching”--a pledge to teach in NYS district schools. (Exec. Comm. Minutes, vol. I, p. 20) The pledge to teach was not abandoned until 1962. "
1845,May 2,,"The first librarian, Darwin G. Eaton, was appointed. Eaton was a student. (Exec. Comm. Minutes, vol. I, p. 21) "
1845,,," The Experimental School opened. The Experimental School would become the Milne School and last as a teaching laboratory till 1977. Reputed to be one of the, if not the first, practice-teaching school in the country. Forty-five pupils enrolled in first class. (Ann. Report of the Executive Committee, January 16, 1846, p. 17) "
